price,bedrooms,bathrooms,sqft,floors,condition,grade,yr_built
221900.0,3,1.0,1180,1.0,3,7,1955
538000.0,3,2.25,2570,2.0,3,7,1951
180000.0,2,1.0,770,1.0,3,6,1933
604000.0,4,3.0,1960,1.0,5,7,1965
510000.0,3,2.0,1680,1.0,3,8,1987
1225000.0,4,4.5,5420,1.0,3,11,2001
257500.0,3,2.25,1715,2.0,3,7,1995
291850.0,3,1.5,1060,1.0,3,7,1963
229500.0,3,1.0,1780,1.0,3,7,1960
323000.0,3,2.5,1890,2.0,3,7,2003
662500.0,3,2.5,3560,1.0,3,8,1965
468000.0,2,1.0,1160,1.0,4,7,1942
310000.0,3,1.0,1430,1.5,4,7,1927
400000.0,3,1.75,1370,1.0,4,7,1977
530000.0,5,2.0,1810,1.5,3,7,1900
650000.0,4,3.0,2950,2.0,3,9,1979
395000.0,3,2.0,1890,2.0,3,7,1994
485000.0,4,1.0,1600,1.5,4,7,1916
189000.0,2,1.0,1200,1.0,4,7,1921
230000.0,3,1.0,1250,1.0,4,7,1969
385000.0,4,1.75,1620,1.0,4,7,1947
2000000.0,3,2.75,3050,1.0,3,9,1968
285000.0,5,2.5,2270,2.0,3,8,1995
252700.0,2,1.5,1070,1.0,3,7,1985
329000.0,3,2.25,2450,2.0,4,8,1985
233000.0,3,2.0,1710,1.5,5,6,1941
937000.0,3,1.75,2450,2.0,3,8,1915
667000.0,3,1.0,1400,1.5,5,8,1909
438000.0,3,1.75,1520,1.0,3,7,1948
719000.0,4,2.5,2570,2.0,3,8,2005
580500.0,3,2.5,2320,2.0,3,8,2003
280000.0,2,1.5,1190,3.0,3,7,2005
687500.0,4,1.75,2330,1.5,4,7,1929
535000.0,3,1.0,1090,1.5,4,8,1929
322500.0,4,2.75,2060,1.0,3,7,1981
696000.0,3,2.5,2300,1.5,3,8,1930
550000.0,4,1.0,1660,1.0,1,5,1933
640000.0,4,2.0,2360,2.0,4,8,1904
240000.0,4,1.0,1220,1.0,2,7,1969
605000.0,4,2.5,2620,2.0,3,8,1996
625000.0,4,2.5,2570,2.0,3,9,2000
775000.0,4,2.25,4220,1.0,3,8,1984
861990.0,5,2.75,3595,2.0,3,9,2014
685000.0,3,1.0,1570,2.0,3,7,1922
309000.0,3,1.0,1280,1.0,4,6,1959
488000.0,3,2.5,3160,2.0,3,8,2003
210490.0,3,1.0,990,1.0,3,6,1966
